state_id,domain,entity_id,state,attributes,event_id,last_changed,last_updated,created,old_state_id
358808,sensor,sensor.xiaomiht_humi,84.51,"{""unit_of_measurement"": ""%"", ""friendly_name"": ""Humidity"", ""device_class"": ""humidity""}",378116,2021-07-13 20:59:57.561688,2021-07-13 20:59:57.561688,2021-07-13 20:59:57.561688,358210.0
358906,sensor,sensor.sonoffht_temp,28.38,"{""unit_of_measurement"": ""C"", ""friendly_name"": ""Temperature"", ""device_class"": ""temperature""}",378220,2021-07-13 21:09:27.120265,2021-07-13 21:09:27.120265,2021-07-13 21:09:27.120265,358271.0
358970,sensor,sensor.sonoffht_humi,87.94,"{""unit_of_measurement"": ""%"", ""friendly_name"": ""Humidity"", ""device_class"": ""humidity""}",378288,2021-07-13 21:15:25.527391,2021-07-13 21:15:25.527391,2021-07-13 21:15:25.527391,358715.0
359346,sensor,sensor.xiaomiht_temp,29.3,"{""unit_of_measurement"": ""C"", ""friendly_name"": ""Temperature"", ""device_class"": ""temperature""}",378696,2021-07-13 21:50:59.648838,2021-07-13 21:50:59.648838,2021-07-13 21:50:59.648838,358807.0
359347,sensor,sensor.xiaomiht_humi,84.08,"{""unit_of_measurement"": ""%"", ""friendly_name"": ""Humidity"", ""device_class"": ""humidity""}",378697,2021-07-13 21:50:59.649558,2021-07-13 21:50:59.649558,2021-07-13 21:50:59.649558,358808.0
359416,sensor,sensor.sonoffht_humi,89.03,"{""unit_of_measurement"": ""%"", ""friendly_name"": ""Humidity"", ""device_class"": ""humidity""}",378770,2021-07-13 21:57:09.883805,2021-07-13 21:57:09.883805,2021-07-13 21:57:09.883805,358970.0
359533,sensor,sensor.sonoffht_temp,28.35,"{""unit_of_measurement"": ""C"", ""friendly_name"": ""Temperature"", ""device_class"": ""temperature""}",378895,2021-07-13 22:09:27.592982,2021-07-13 22:09:27.592982,2021-07-13 22:09:27.592982,358906.0
359915,sensor,sensor.xiaomiht_temp,29.36,"{""unit_of_measurement"": ""C"", ""friendly_name"": ""Temperature"", ""device_class"": ""temperature""}",379301,2021-07-13 22:45:13.819318,2021-07-13 22:45:13.819318,2021-07-13 22:45:13.819318,359346.0
359916,sensor,sensor.xiaomiht_humi,84.04,"{""unit_of_measurement"": ""%"", ""friendly_name"": ""Humidity"", ""device_class"": ""humidity""}",379302,2021-07-13 22:45:13.820145,2021-07-13 22:45:13.820145,2021-07-13 22:45:13.820145,359347.0
359959,sensor,sensor.sonoffht_humi,87.94,"{""unit_of_measurement"": ""%"", ""friendly_name"": ""Humidity"", ""device_class"": ""humidity""}",379349,2021-07-13 22:49:15.259908,2021-07-13 22:49:15.259908,2021-07-13 22:49:15.259908,359416.0
359971,sensor,sensor.sonoffht_humi,89.07,"{""unit_of_measurement"": ""%"", ""friendly_name"": ""Humidity"", ""device_class"": ""humidity""}",379361,2021-07-13 22:49:45.303117,2021-07-13 22:49:45.303117,2021-07-13 22:49:45.303117,359959.0
360110,sensor,sensor.sonoffht_humi,87.98,"{""unit_of_measurement"": ""%"", ""friendly_name"": ""Humidity"", ""device_class"": ""humidity""}",379510,2021-07-13 23:02:26.656902,2021-07-13 23:02:26.656902,2021-07-13 23:02:26.656902,359971.0
360181,sensor,sensor.sonoffht_humi,86.9,"{""unit_of_measurement"": ""%"", ""friendly_name"": ""Humidity"", ""device_class"": ""humidity""}",379585,2021-07-13 23:09:17.348011,2021-07-13 23:09:17.348011,2021-07-13 23:09:17.348011,360110.0
360182,sensor,sensor.sonoffht_temp,28.24,"{""unit_of_measurement"": ""C"", ""friendly_name"": ""Temperature"", ""device_class"": ""temperature""}",379586,2021-07-13 23:09:28.091331,2021-07-13 23:09:28.091331,2021-07-13 23:09:28.091331,359533.0
360556,sensor,sensor.xiaomiht_temp,29.31,"{""unit_of_measurement"": ""C"", ""friendly_name"": ""Temperature"", ""device_class"": ""temperature""}",379988,2021-07-13 23:41:40.775437,2021-07-13 23:41:40.775437,2021-07-13 23:41:40.775437,359915.0
360557,sensor,sensor.xiaomiht_humi,84.1,"{""unit_of_measurement"": ""%"", ""friendly_name"": ""Humidity"", ""device_class"": ""humidity""}",379989,2021-07-13 23:41:40.775979,2021-07-13 23:41:40.775979,2021-07-13 23:41:40.775979,359916.0
360604,switch,switch.airpurifier,unavailable,"{""friendly_name"": ""Air Purifier"", ""icon"": ""mdi:air-purifier""}",380040,2021-07-13 23:45:58.363048,2021-07-13 23:45:58.363048,2021-07-13 23:45:58.363048,356317.0
360639,switch,switch.airpurifier,on,"{""friendly_name"": ""Air Purifier"", ""icon"": ""mdi:air-purifier""}",380081,2021-07-13 23:48:39.270306,2021-07-13 23:48:39.270306,2021-07-13 23:48:39.270306,360604.0
360867,sensor,sensor.sonoffht_humi,87.09,"{""unit_of_measurement"": ""%"", ""friendly_name"": ""Humidity"", ""device_class"": ""humidity""}",380326,2021-07-14 00:09:17.894255,2021-07-14 00:09:17.894255,2021-07-14 00:09:17.894255,360181.0
360868,sensor,sensor.sonoffht_temp,28.1,"{""unit_of_measurement"": ""C"", ""friendly_name"": ""Temperature"", ""device_class"": ""temperature""}",380327,2021-07-14 00:09:28.636485,2021-07-14 00:09:28.636485,2021-07-14 00:09:28.636485,360182.0
360904,switch,switch.airpurifier,off,"{""friendly_name"": ""Air Purifier"", ""icon"": ""mdi:air-purifier""}",380367,2021-07-14 00:11:50.640611,2021-07-14 00:11:50.640611,2021-07-14 00:11:50.640611,360639.0
361226,sensor,sensor.xiaomiht_temp,29.2,"{""unit_of_measurement"": ""C"", ""friendly_name"": ""Temperature"", ""device_class"": ""temperature""}",380711,2021-07-14 00:41:34.728032,2021-07-14 00:41:34.728032,2021-07-14 00:41:34.728032,360556.0
361227,sensor,sensor.xiaomiht_humi,83.8,"{""unit_of_measurement"": ""%"", ""friendly_name"": ""Humidity"", ""device_class"": ""humidity""}",380712,2021-07-14 00:41:34.728713,2021-07-14 00:41:34.728713,2021-07-14 00:41:34.728713,360557.0
361471,switch,switch.br3walllight,on,"{""friendly_name"": ""Light"", ""icon"": ""mdi:ceiling-light""}",380976,2021-07-14 01:03:35.629144,2021-07-14 01:03:35.629144,2021-07-14 01:03:35.629144,356246.0
361531,sensor,sensor.sonoffht_temp,28.13,"{""unit_of_measurement"": ""C"", ""friendly_name"": ""Temperature"", ""device_class"": ""temperature""}",381038,2021-07-14 01:09:29.190087,2021-07-14 01:09:29.190087,2021-07-14 01:09:29.190087,360868.0
361741,switch,switch.br3wallfan,off,"{""friendly_name"": ""Fan"", ""icon"": ""mdi:fan""}",381266,2021-07-14 01:27:50.103654,2021-07-14 01:27:50.103654,2021-07-14 01:27:50.103654,357046.0
361743,switch,switch.br3walllight,off,"{""friendly_name"": ""Light"", ""icon"": ""mdi:ceiling-light""}",381272,2021-07-14 01:27:50.373285,2021-07-14 01:27:50.373285,2021-07-14 01:27:50.373285,361471.0
361836,sensor,sensor.xiaomiht_temp,29.16,"{""unit_of_measurement"": ""C"", ""friendly_name"": ""Temperature"", ""device_class"": ""temperature""}",381370,2021-07-14 01:35:22.502406,2021-07-14 01:35:22.502406,2021-07-14 01:35:22.502406,361226.0
361837,sensor,sensor.xiaomiht_humi,83.83,"{""unit_of_measurement"": ""%"", ""friendly_name"": ""Humidity"", ""device_class"": ""humidity""}",381371,2021-07-14 01:35:22.503156,2021-07-14 01:35:22.503156,2021-07-14 01:35:22.503156,361227.0
361855,sensor,sensor.sonoffht_humi,86.06,"{""unit_of_measurement"": ""%"", ""friendly_name"": ""Humidity"", ""device_class"": ""humidity""}",381391,2021-07-14 01:36:32.797069,2021-07-14 01:36:32.797069,2021-07-14 01:36:32.797069,360867.0
362293,sensor,sensor.sonoffht_temp,28.43,"{""unit_of_measurement"": ""C"", ""friendly_name"": ""Temperature"", ""device_class"": ""temperature""}",381857,2021-07-14 02:09:29.586101,2021-07-14 02:09:29.586101,2021-07-14 02:09:29.586101,361531.0
362658,sensor,sensor.xiaomiht_temp,29.17,"{""unit_of_measurement"": ""C"", ""friendly_name"": ""Temperature"", ""device_class"": ""temperature""}",382238,2021-07-14 02:28:25.124044,2021-07-14 02:28:25.124044,2021-07-14 02:28:25.124044,361836.0
362659,sensor,sensor.xiaomiht_humi,81.41,"{""unit_of_measurement"": ""%"", ""friendly_name"": ""Humidity"", ""device_class"": ""humidity""}",382239,2021-07-14 02:28:25.124838,2021-07-14 02:28:25.124838,2021-07-14 02:28:25.124838,361837.0
362817,sensor,sensor.sonoffht_humi,86.32,"{""unit_of_measurement"": ""%"", ""friendly_name"": ""Humidity"", ""device_class"": ""humidity""}",382403,2021-07-14 02:36:33.172870,2021-07-14 02:36:33.172870,2021-07-14 02:36:33.172870,361855.0
363442,sensor,sensor.sonoffht_temp,28.64,"{""unit_of_measurement"": ""C"", ""friendly_name"": ""Temperature"", ""device_class"": ""temperature""}",383052,2021-07-14 03:09:30.127179,2021-07-14 03:09:30.127179,2021-07-14 03:09:30.127179,362293.0
363659,sensor,sensor.xiaomiht_temp,29.23,"{""unit_of_measurement"": ""C"", ""friendly_name"": ""Temperature"", ""device_class"": ""temperature""}",383285,2021-07-14 03:23:23.229498,2021-07-14 03:23:23.229498,2021-07-14 03:23:23.229498,362658.0
